# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
PVP01_0000130	PVP01_0000130	PVP01_0000130		0	0	4	19	0	1	2	0	8	0	0	1	1	0	0	0	0	0	0	0	0	10
PVP01_0000140	PVP01_0000140	PVP01_0000140		2	6	12	21	1	0	0	0	9	2	0	0	11	0	0	0	0	0	0	0	6	12
PVP01_0000150	PVP01_0000150	PVP01_0000150		0	0	2	42	0	0	0	0	28	0	0	1	2	0	0	0	0	0	0	0	0	13
PVP01_0000160	PVP01_0000160	PVP01_0000160		0	1	3	25	0	0	0	0	13	0	0	0	3	0	0	0	0	0	0	0	1	12
PVP01_0000170	PVP01_0000170	PVP01_0000170		0	0	0	29	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	14
PVP01_0000180	PVP01_0000180	PVP01_0000180		2	3	4	27	1	0	0	0	13	2	0	0	3	0	0	0	0	0	0	0	3	14
PVP01_0000190	PVP01_0000190	PVP01_0000190		0	0	0	28	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	16
PVP01_0000200	PVP01_0000200	PVP01_0000200		0	0	1	33	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	22
PVP01_0000210	PVP01_0000210	PVP01_0000210		0	0	0	31	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	8
PVP01_0000220	PVP01_0000220	PVP01_0000220		0	0	0	265	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	243
PVP01_0000230	PVP01_0000230	PVP01_0000230		4	13	28	698	0	0	0	0	473	3	0	15	28	1	0	5	0	0	1	0	12	212
PVP01_0000240	PVP01_0000240	PVP01_0000240		43	35	173	714	0	0	0	1	424	38	0	22	172	0	0	1	0	5	0	0	34	269
PVP01_0000250	PVP01_0000250	PVP01_0000250		4	29	67	847	0	2	2	0	356	4	0	11	63	0	0	0	0	0	0	0	29	480
PVP01_0000260	PVP01_0000260	PVP01_0000260		2	17	34	812	0	2	0	0	449	2	0	8	32	0	0	3	0	0	0	0	14	358
PVP01_0000270	PVP01_0000270	PVP01_0000270		14	10	37	838	0	0	1	1	397	13	0	22	35	0	0	0	0	2	0	0	10	419
PVP01_0000280	PVP01_0000280	PVP01_0000280		5	13	76	438	0	0	0	0	363	4	0	33	76	0	0	2	0	1	0	0	11	44
PVP01_0000290	PVP01_0000290	PVP01_0000290		7	20	122	584	2	0	0	1	326	6	0	20	119	0	0	1	0	1	0	0	20	238
PVP01_0000300	PVP01_0000300	PVP01_0000300		5	12	46	866	0	0	0	0	410	3	0	6	46	0	0	1	0	2	0	0	12	450
PVP01_0000310	PVP01_0000310	PVP01_0000310		12	23	99	491	4	4	1	1	328	10	0	22	89	0	0	3	0	3	0	0	20	144
PVP01_0000320	PVP01_0000320	PVP01_0000320		2	14	31	510	0	0	0	1	372	2	0	2	30	0	0	0	0	0	0	0	14	136
PVP01_0000330	PVP01_0000330	PVP01_0000330		18	36	138	353	0	1	2	1	41	14	0	47	136	0	0	0	0	4	0	0	36	265
PVP01_0000340	PVP01_0000340	PVP01_0000340		0	0	1	534	0	0	0	0	215	0	0	2	1	0	0	0	0	0	0	0	0	317
PVP01_0000350	PVP01_0000350	PVP01_0000350		4	17	57	470	1	1	0	0	116	2	0	16	55	0	0	2	0	2	0	0	16	339
PVP01_0000360	PVP01_0000360	PVP01_0000360		0	2	16	714	0	0	0	0	403	0	0	3	16	0	0	0	0	0	0	0	2	308
PVP01_0000370	PVP01_0000370	PVP01_0000370		8	6	21	455	0	2	2	0	323	8	0	9	17	0	0	1	0	0	0	0	5	124
PVP01_0000380	PVP01_0000380	PVP01_0000380		2	3	24	288	0	0	0	0	172	2	0	10	24	0	0	1	0	0	0	0	2	107
PVP01_0000390	PVP01_0000390	PVP01_0000390		0	3	2	373	0	0	0	0	143	0	0	1	2	0	0	1	0	0	0	1	2	229
PVP01_0000400	PVP01_0000400	PVP01_0000400		7	17	33	295	0	0	0	0	109	6	0	19	33	0	0	3	0	1	0	0	14	170
PVP01_0000410	PVP01_0000410	PVP01_0000410		0	7	15	321	0	0	0	0	235	0	0	8	15	0	0	0	0	0	0	0	7	78
PVP01_0000420	PVP01_0000420	PVP01_0000420		1	4	5	218	0	0	1	0	83	1	0	17	4	0	0	1	0	0	0	0	3	119
PVP01_0000430	PVP01_0000430	PVP01_0000430		0	4	3	247	0	0	0	0	128	0	0	0	3	0	0	0	0	0	0	0	4	119
PVP01_0000440	PVP01_0000440	PVP01_0000440		6	12	48	106	0	1	1	0	36	6	0	7	46	0	0	2	0	0	0	0	11	64
PVP01_0000450	PVP01_0000450	PVP01_0000450		2	2	13	453	0	0	0	0	129	2	0	1	13	0	0	2	0	0	0	0	1	324
PVP01_0000460	PVP01_0000460	PVP01_0000460		15	27	106	310	0	2	3	0	151	13	0	27	101	0	1	3	0	0	1	0	26	134
PVP01_0000470	PVP01_0000470	PVP01_0000470		3	9	28	394	0	0	0	0	277	3	0	19	28	0	0	1	0	0	0	0	8	99
PVP01_0000480	PVP01_0000480	PVP01_0000480		0	0	0	284	0	0	0	0	208	0	0	1	0	0	0	0	0	0	0	0	0	75
PVP01_0000490	PVP01_0000490	PVP01_0000490		13	18	109	164	0	0	0	0	5	11	0	9	109	0	1	2	0	1	0	0	17	152
PVP01_0000500	PVP01_0000500	PVP01_0000500		1	2	11	303	0	0	0	0	257	1	0	1	11	0	0	2	0	0	0	0	1	46
PVP01_0000510	PVP01_0000510	PVP01_0000510		0	0	1	131	0	0	0	0	104	0	0	2	1	0	0	0	0	0	0	0	0	25
PVP01_0000520	PVP01_0000520	PVP01_0000520		0	2	7	73	0	0	0	0	22	0	0	3	7	0	0	1	0	0	0	0	1	49
PVP01_0000530	PVP01_0000530	PVP01_0000530		7	5	33	100	0	0	0	0	20	6	0	1	33	0	0	0	0	0	1	0	5	79
PVP01_0000540	PVP01_0000540	PVP01_0000540		3	7	21	108	1	1	0	0	47	3	0	1	19	0	0	0	0	0	0	0	7	60
PVP01_0000550	PVP01_0000550	PVP01_0000550		0	0	1	221	0	0	0	0	84	0	0	6	1	0	0	0	0	0	0	0	0	131
PVP01_0000560	PVP01_0000560	PVP01_0000560		8	13	42	169	0	1	0	0	67	6	0	13	41	0	0	0	0	1	1	0	13	89
PVP01_0000570	PVP01_0000570	PVP01_0000570		0	7	11	412	0	1	0	0	172	0	0	18	10	0	0	2	0	0	0	0	5	224
PVP01_0000580	PVP01_0000580	PVP01_0000580		22	37	136	674	2	6	2	0	119	20	0	28	126	1	0	3	0	1	0	0	35	530
PVP01_0000590	PVP01_0000590	PVP01_0000590		18	36	75	1017	0	1	0	0	563	17	0	54	74	0	0	4	0	1	0	0	32	404
PVP01_0000600	PVP01_0000600	PVP01_0000600		8	21	129	505	2	5	2	0	406	5	0	21	121	0	0	2	0	3	0	0	20	79
PVP01_0000610	PVP01_0000610	PVP01_0000610		11	20	56	249	0	1	0	1	76	10	0	12	54	0	0	2	0	0	1	0	20	161
PVP01_0000620	PVP01_0000620	PVP01_0000620		14	32	105	510	1	3	3	0	140	12	0	29	98	0	1	2	0	1	0	0	30	344
PVP01_0000630	PVP01_0000630	PVP01_0000630		8	20	68	901	0	3	1	0	382	8	0	20	64	0	0	2	0	0	0	0	18	501
PVP01_0000640	PVP01_0000640	PVP01_0000640		13	32	91	793	0	0	0	1	426	6	0	38	90	0	0	4	0	5	2	1	27	333
PVP01_0000650	PVP01_0000650	PVP01_0000650		5	8	26	683	1	2	0	1	492	2	0	14	23	0	1	0	1	1	0	0	8	178
PVP01_0000660	PVP01_0000660	PVP01_0000660		16	5	27	388	1	0	0	0	195	14	0	12	26	0	0	1	0	3	0	0	5	181
PVP01_0000670	PVP01_0000670	PVP01_0000670		4	10	23	391	0	0	0	0	204	4	0	11	23	0	0	2	0	0	0	0	9	177
PVP01_0000680	PVP01_0000680	PVP01_0000680		3	8	29	288	0	0	0	0	205	2	0	1	29	0	0	2	0	1	0	0	7	83
PVP01_0000690	PVP01_0000690	PVP01_0000690		6	6	11	178	1	2	0	0	130	6	0	0	8	0	0	0	0	0	0	0	6	48
PVP01_0000700	PVP01_0000700	PVP01_0000700		3	4	14	185	0	0	0	0	67	2	0	6	14	0	1	0	0	0	0	0	4	113
PVP01_0000710	PVP01_0000710	PVP01_0000710		12	12	43	138	0	0	0	0	41	10	0	21	43	0	0	1	0	2	0	0	11	77
PVP01_0000720	PVP01_0000720	PVP01_0000720		7	5	22	313	0	0	0	0	132	7	0	0	22	0	0	0	0	0	0	0	5	181
PVP01_0000730	PVP01_0000730	PVP01_0000730		9	11	47	401	0	1	0	0	78	7	0	12	46	2	0	1	0	0	0	0	10	314
PVP01_0000740	PVP01_0000740	PVP01_0000740		2	3	13	405	0	0	0	0	300	2	0	6	13	0	0	0	0	0	0	0	3	99
PVP01_0000750	PVP01_0000750	PVP01_0000750		16	23	71	148	0	1	1	0	44	14	0	30	70	0	1	5	0	2	0	0	20	78
PVP01_0000760	PVP01_0000760	PVP01_0000760		2	1	2	257	0	0	0	0	184	2	0	0	2	0	0	0	0	0	0	0	1	73
PVP01_0000770	PVP01_0000770	PVP01_0000770		5	4	11	163	0	0	0	0	104	5	0	5	11	0	0	0	0	0	0	0	4	54
PVP01_0000780	PVP01_0000780	PVP01_0000780		0	0	0	162	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	47
PVP01_0000790	PVP01_0000790	PVP01_0000790		7	11	47	135	0	1	1	1	32	6	0	21	44	0	0	1	0	1	0	0	10	83
PVP01_0000800	PVP01_0000800	PVP01_0000800		0	8	26	268	0	0	0	0	122	0	0	7	26	0	0	2	0	0	0	0	7	140
PVP01_0000810	PVP01_0000810	PVP01_0000810		1	11	24	324	0	0	0	0	104	1	0	25	24	0	0	2	0	0	0	0	9	197
PVP01_0000820	PVP01_0000820	PVP01_0000820		14	17	61	516	0	0	0	0	153	12	0	13	61	0	0	1	0	2	0	0	16	351
PVP01_0000830	PVP01_0000830	PVP01_0000830		9	13	41	580	1	1	0	1	314	8	0	18	38	0	0	2	0	1	0	0	11	250
PVP01_0000840	PVP01_0000840	PVP01_0000840		2	13	39	539	0	2	3	0	376	2	0	27	34	0	0	6	0	0	0	0	8	141
PVP01_0000850	PVP01_0000850	PVP01_0000850		6	12	34	237	0	2	2	0	233	3	0	5	30	0	0	2	0	2	1	0	10	1
PVP01_0000860	PVP01_0000860	PVP01_0000860		1	3	8	156	0	0	0	0	15	0	0	3	8	0	0	2	0	1	0	0	1	140
PVP01_0000870	PVP01_0000870	PVP01_0000870		3	9	25	366	1	1	0	1	29	3	0	19	22	0	0	1	0	0	0	0	9	318
PVP01_0000880	PVP01_0000880	PVP01_0000880		24	20	61	416	0	0	0	2	165	21	0	19	59	0	0	4	1	2	0	0	17	235
PVP01_0000890	PVP01_0000890	PVP01_0000890		1	15	46	396	0	0	0	0	351	0	0	4	46	0	0	0	0	1	0	0	15	41
PVP01_0000900	PVP01_0000900	PVP01_0000900		0	1	13	359	0	0	0	0	235	0	0	0	13	0	0	0	0	0	0	0	1	124
PVP01_0000910	PVP01_0000910	PVP01_0000910		0	8	18	139	0	0	0	0	43	0	0	4	18	0	0	0	0	0	0	0	8	92
PVP01_0000920	PVP01_0000920	PVP01_0000920		0	0	0	5	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0
PVP01_0000930	PVP01_0000930	PVP01_0000930		0	2	1	280	0	0	0	0	278	0	0	0	1	0	0	0	0	0	0	0	2	2
PVP01_0000940	PVP01_0000940	PVP01_0000940		3	7	20	585	0	0	0	0	339	3	0	19	20	0	0	2	0	0	0	0	5	229
PVP01_0000950	PVP01_0000950	PVP01_0000950		7	31	82	687	0	0	1	2	480	6	0	18	79	0	1	2	0	0	0	0	29	192
PVP01_0000960	PVP01_0000960	PVP01_0000960		1	30	62	909	0	1	0	0	343	0	0	48	61	0	0	6	1	0	0	1	26	521
PVP01_0000970	PVP01_0000970	PVP01_0000970		24	26	103	837	2	2	1	1	468	21	0	32	98	0	0	3	0	2	2	0	24	339
PVP01_0000980	PVP01_0000980	PVP01_0000980		11	47	163	851	1	0	1	1	530	10	0	50	160	0	0	7	0	2	0	0	43	275
PVP01_0000990	PVP01_0000990	PVP01_0000990		10	33	51	977	0	0	0	0	512	8	0	34	51	0	0	7	0	3	0	0	28	436
PVP01_0001000	PVP01_0001000	PVP01_0001000		11	17	62	947	0	0	1	0	468	9	0	36	61	0	1	2	0	1	0	0	15	446
PVP01_0001010	PVP01_0001010	PVP01_0001010		11	39	91	865	1	0	0	1	367	10	0	31	89	0	0	0	0	2	0	0	39	467
PVP01_0001020	PVP01_0001020	PVP01_0001020		6	31	113	795	1	2	1	0	443	4	0	36	109	0	0	1	0	2	0	0	30	317
PVP01_0001030	PVP01_0001030	PVP01_0001030		1	24	28	818	0	0	0	0	514	1	0	42	28	0	0	4	0	0	0	0	22	264
PVP01_0001040	PVP01_0001040	PVP01_0001040		4	19	32	735	1	0	0	0	218	4	0	41	31	0	0	1	0	0	0	0	18	477
PVP01_0001050	PVP01_0001050	PVP01_0001050		9	23	57	905	0	0	0	0	650	7	0	35	57	1	0	6	0	1	0	1	18	225
PVP01_0001060	PVP01_0001060	PVP01_0001060		21	30	106	982	2	1	1	4	399	19	0	6	98	0	0	2	0	2	0	0	28	579
PVP01_0001070	PVP01_0001070	PVP01_0001070		0	12	49	991	0	0	0	0	372	0	0	22	49	0	0	0	0	0	0	0	12	597
PVP01_0001080	PVP01_0001080	PVP01_0001080		14	23	60	756	2	2	0	0	427	14	0	12	56	0	0	0	0	0	0	0	23	317
PVP01_0001090	PVP01_0001090	PVP01_0001090		2	30	82	905	0	1	1	0	382	2	0	23	80	0	0	1	0	1	0	0	30	500
PVP01_0001100	PVP01_0001100	PVP01_0001100		5	21	53	883	0	2	1	0	549	5	0	18	50	0	0	1	0	0	0	0	20	317
PVP01_0001110	PVP01_0001110	PVP01_0001110		9	29	99	523	0	1	2	0	244	8	0	29	96	0	0	2	0	1	0	0	27	252
PVP01_0001120	PVP01_0001120	PVP01_0001120		5	8	39	587	1	1	0	0	356	4	0	3	37	0	0	1	0	1	0	0	8	228
PVP01_0001130	PVP01_0001130	PVP01_0001130		7	15	68	266	0	0	0	0	190	7	0	11	68	0	0	1	0	0	0	0	14	66
PVP01_0001140	PVP01_0001140	PVP01_0001140		0	3	21	504	0	0	0	0	159	0	0	10	21	0	0	1	0	0	0	0	3	335
PVP01_0001150	PVP01_0001150	PVP01_0001150		28	32	129	503	1	2	0	2	139	26	0	37	124	0	0	3	0	2	0	0	29	330
PVP01_0001160	PVP01_0001160	PVP01_0001160		17	22	78	1074	1	4	3	2	322	13	0	47	68	1	0	7	0	3	0	0	18	710
PVP01_0001170	PVP01_0001170	PVP01_0001170		43	45	170	963	1	3	0	0	456	35	0	46	166	0	2	8	0	7	0	0	39	469
PVP01_0001180	PVP01_0001180	PVP01_0001180		5	21	42	716	0	0	0	0	648	4	0	14	42	0	0	3	0	1	0	0	18	57
PVP01_0001190	PVP01_0001190	PVP01_0001190		3	15	34	408	0	0	0	0	119	2	0	42	34	0	1	0	0	0	0	0	15	248
PVP01_0001200	PVP01_0001200	PVP01_0001200		3	3	19	632	0	1	0	0	376	2	0	17	18	0	0	0	0	1	0	0	3	239
PVP01_0001210	PVP01_0001210	PVP01_0001210		11	33	88	477	1	0	0	1	151	10	0	20	86	1	0	0	0	0	0	0	33	307
PVP01_0001220	PVP01_0001220	PVP01_0001220		21	25	79	455	0	2	3	2	308	18	0	39	73	0	0	2	1	3	0	0	23	110
PVP01_0001230	PVP01_0001230	PVP01_0001230		14	16	45	273	0	0	0	0	213	13	0	11	45	0	0	0	0	1	0	0	16	49
PVP01_0001240	PVP01_0001240	PVP01_0001240		2	7	17	228	0	0	0	0	114	2	0	0	17	0	0	0	0	0	0	0	7	114
PVP01_0001250	PVP01_0001250	PVP01_0001250		5	6	21	245	0	1	2	1	39	4	0	14	18	0	0	2	0	1	0	0	5	193
PVP01_0001260	PVP01_0001260	PVP01_0001260		0	6	12	285	0	0	0	0	183	0	0	13	12	0	0	0	0	0	0	0	6	89
PVP01_0001270	PVP01_0001270	PVP01_0001270		3	9	20	450	0	0	0	0	128	2	0	3	20	0	1	3	0	0	0	0	8	321
PVP01_0001280	PVP01_0001280	PVP01_0001280		11	16	74	433	1	2	3	0	145	8	0	36	69	0	1	2	0	2	0	0	14	255
PVP01_0001290	PVP01_0001290	PVP01_0001290		8	10	39	367	1	0	0	0	356	4	0	3	38	0	0	1	0	3	1	0	9	9
PVP01_0001300	PVP01_0001300	PVP01_0001300		0	0	1	231	0	0	0	0	99	0	0	0	1	0	0	0	0	0	0	0	0	132
PVP01_0001310	PVP01_0001310	PVP01_0001310		5	16	62	257	1	1	2	0	42	4	0	9	58	0	0	1	0	1	0	0	15	207
PVP01_0001320	PVP01_0001320	PVP01_0001320		14	13	61	437	1	1	0	0	201	13	0	13	59	0	0	3	0	1	0	0	11	225
PVP01_0001330	PVP01_0001330	PVP01_0001330		0	5	16	262	0	0	0	0	193	0	0	7	16	0	0	1	0	0	0	0	4	63
PVP01_0001340	PVP01_0001340	PVP01_0001340		0	1	5	201	0	0	0	0	47	0	0	0	5	0	0	0	0	0	0	0	1	154
PVP01_0001350	PVP01_0001350	PVP01_0001350		0	9	3	209	0	0	0	0	103	0	0	9	3	0	0	0	0	0	0	0	9	97
PVP01_0001360	PVP01_0001360	PVP01_0001360		10	13	28	485	0	1	1	0	65	10	0	9	26	0	0	2	0	0	0	0	12	412
PVP01_0001370	PVP01_0001370	PVP01_0001370		25	21	68	456	2	1	1	1	177	23	0	36	63	0	1	4	0	2	0	0	20	245
PVP01_0001380	PVP01_0001380	PVP01_0001380		10	17	41	557	0	0	1	0	284	10	0	25	40	0	0	3	0	0	0	0	14	251
PVP01_0001390	PVP01_0001390	PVP01_0001390		8	17	60	592	0	1	0	1	241	7	0	17	58	0	0	2	0	2	0	0	15	336
PVP01_0001400	PVP01_0001400	PVP01_0001400		12	22	56	518	0	0	1	1	118	11	0	29	54	0	0	5	0	0	1	0	20	373
PVP01_0001410	PVP01_0001410	PVP01_0001410		5	2	18	481	0	0	0	0	274	5	0	1	18	0	0	0	0	0	0	0	2	206
PVP01_0001420	PVP01_0001420	PVP01_0001420		9	21	96	728	1	0	0	1	428	8	0	28	94	0	1	3	0	1	0	0	20	274
PVP01_0001430	PVP01_0001430	PVP01_0001430		2	25	5	816	0	0	0	0	566	2	0	0	5	0	0	0	0	0	0	0	25	250
PVP01_0001440	PVP01_0001440	PVP01_0001440		0	1	8	183	1	0	1	2	103	0	0	1	4	0	0	0	0	0	0	0	1	79
PVP01_0001450	PVP01_0001450	PVP01_0001450		7	24	85	429	0	0	0	0	125	7	0	17	85	0	0	6	0	0	0	0	20	291
PVP01_0001460	PVP01_0001460	PVP01_0001460		19	17	87	692	0	1	2	0	248	19	0	20	84	0	0	1	0	0	0	0	16	425
PVP01_0001470	PVP01_0001470	PVP01_0001470		11	19	101	969	1	1	0	2	450	10	0	21	97	0	0	6	0	1	0	0	16	501
PVP01_0001480	PVP01_0001480	PVP01_0001480		16	29	117	913	0	0	0	1	439	8	0	27	116	0	0	3	0	7	1	0	28	448
PVP01_0001490	PVP01_0001490	PVP01_0001490		9	21	89	862	0	2	0	2	488	7	0	20	85	1	0	1	0	1	0	0	20	356
PVP01_0001500	PVP01_0001500	PVP01_0001500		9	15	40	521	0	0	0	0	148	9	0	4	40	0	0	1	0	0	0	0	14	370
PVP01_0001510	PVP01_0001510	PVP01_0001510		1	6	8	281	0	0	0	0	79	1	0	20	8	0	0	4	0	0	0	0	5	183
PVP01_0001520	PVP01_0001520	PVP01_0001520		7	7	23	300	0	1	1	0	169	7	1	0	21	0	0	0	0	0	0	0	6	131
PVP01_0001530	PVP01_0001530	PVP01_0001530		2	16	53	192	1	1	0	0	80	0	0	6	51	0	0	1	0	1	1	0	16	106
PVP01_0001540	PVP01_0001540	PVP01_0001540		0	7	17	212	0	0	0	0	63	0	0	0	17	0	0	0	0	0	0	0	7	149
PVP01_0001550	PVP01_0001550	PVP01_0001550		0	2	4	246	0	0	0	0	69	0	0	2	4	0	0	0	0	0	0	0	2	175
PVP01_0001560	PVP01_0001560	PVP01_0001560		0	4	1	250	0	0	0	0	176	0	0	7	1	0	0	2	0	0	0	0	2	69
PVP01_0001570	PVP01_0001570	PVP01_0001570		3	0	4	139	0	0	0	0	85	3	0	0	4	0	0	0	0	0	0	0	0	54
PVP01_0001580	PVP01_0001580	PVP01_0001580		0	2	1	115	0	0	0	0	112	0	0	2	1	0	0	0	0	0	0	0	2	1
PVP01_0001590	PVP01_0001590	PVP01_0001590		0	1	15	102	0	0	0	0	48	0	0	0	15	0	0	0	0	0	0	0	1	54
PVP01_0001600	PVP01_0001600	PVP01_0001600		4	15	20	200	0	0	0	0	158	4	0	0	20	0	0	0	0	0	0	0	15	42
PVP01_0001610	PVP01_0001610	PVP01_0001610		13	13	40	361	1	0	1	3	276	11	0	0	35	0	0	0	0	4	0	0	13	85
PVP01_0001620	PVP01_0001620	PVP01_0001620		4	19	48	733	0	0	0	1	218	1	0	15	47	0	0	2	0	3	0	0	19	500
PVP01_0001630	PVP01_0001630	PVP01_0001630		27	32	113	635	1	2	1	1	244	22	0	47	108	2	0	9	2	1	1	0	29	349
PVP01_0001640	PVP01_0001640	PVP01_0001640		4	12	23	356	0	0	0	0	103	4	0	11	23	0	0	0	0	0	0	0	12	242
PVP01_0001650	PVP01_0001650	PVP01_0001650		0	2	11	227	0	0	0	0	84	0	0	0	11	0	0	0	0	0	0	0	2	143
PVP01_0001660	PVP01_0001660	PVP01_0001660		0	0	0	363	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	83
PVP01_0001670	PVP01_0001670	PVP01_0001670		8	8	40	355	0	0	0	0	115	6	0	16	40	0	0	1	0	2	1	0	7	225
PVP01_0001680	PVP01_0001680	PVP01_0001680		10	4	11	213	0	0	2	0	55	10	0	9	9	0	0	1	0	0	0	0	4	149
PVP01_0001690	PVP01_0001690	PVP01_0001690		15	14	37	244	0	0	0	1	42	15	0	7	36	0	0	3	0	0	0	0	12	197
PVP01_0001700	PVP01_0001700	PVP01_0001700		0	0	0	322	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	132
PVP01_0001710	PVP01_0001710	PVP01_0001710		3	14	30	222	1	1	0	0	79	3	0	42	28	0	0	2	0	0	0	0	12	103
PVP01_0001720	PVP01_0001720	PVP01_0001720		6	12	23	328	0	0	0	0	200	6	0	0	23	0	0	0	0	0	0	0	12	128
PVP01_0001730	PVP01_0001730	PVP01_0001730		2	9	30	211	0	0	1	0	115	2	0	15	29	0	0	3	0	0	0	0	7	83
PVP01_0001740	PVP01_0001740	PVP01_0001740		0	6	4	376	0	0	0	0	127	0	0	0	4	0	0	1	0	0	0	1	5	249
PVP01_0001750	PVP01_0001750	PVP01_0001750		3	9	30	286	0	0	1	0	147	2	0	14	29	0	0	1	0	1	0	0	8	126
PVP01_0001760	PVP01_0001760	PVP01_0001760		0	0	0	234	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	14
PVP01_0001770	PVP01_0001770	PVP01_0001770		0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110
PVP01_0001780	PVP01_0001780	PVP01_0001780		0	0	1	154	0	0	0	0	106	0	0	0	1	0	0	0	0	0	0	0	0	48
PVP01_0001790	PVP01_0001790	PVP01_0001790		2	3	5	146	0	0	0	0	41	2	0	3	5	0	0	3	0	0	0	0	1	104
PVP01_0001800	PVP01_0001800	PVP01_0001800		4	5	52	154	0	0	0	0	87	4	0	0	52	0	0	0	0	1	0	0	5	67
PVP01_0001810	PVP01_0001810	PVP01_0001810		2	6	26	165	0	0	0	0	29	2	0	3	26	0	0	1	0	0	0	0	5	134
PVP01_0001820	PVP01_0001820	PVP01_0001820		0	0	2	263	0	0	0	0	233	0	0	1	2	0	0	0	0	0	0	0	0	29
PVP01_0001830	PVP01_0001830	PVP01_0001830		16	19	84	453	1	1	2	0	298	16	0	15	80	0	0	1	0	1	0	0	18	141
PVP01_0001840	PVP01_0001840	PVP01_0001840		17	12	44	431	2	2	4	2	70	17	0	1	34	0	0	1	0	0	0	0	11	361
PVP01_0001850	PVP01_0001850	PVP01_0001850		0	0	0	343	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	143
PVP01_0001860	PVP01_0001860	PVP01_0001860		13	24	68	174	1	1	2	0	122	11	0	32	64	0	0	3	0	2	0	0	23	21
PVP01_0001870	PVP01_0001870	PVP01_0001870		0	0	0	301	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	88
