Chromosome	Gene	Start	End	Ratio
FLZR01000029	PIR protein(PVP01_0004420)	3689	4884	0.357732
FLZR01000031	PIR protein(PVP01_0010510)	1	1662	0.346572
FLZR01000036	PIR protein(PVP01_0010520)	1	1021	0.092538
FLZR01000037	PIR protein(PVP01_0010530)	410	1701	1.188943
FLZR01000038	gamma-glutamylcysteine synthetase, putative(PVP01_0010540)	1123	1526	0.065941
FLZR01000040	(PVP01_0004930)	109963	111332	0.251886
FLZR01000040	PIR protein(PVP01_0004920)	102536	105110	-nan
FLZR01000040	PIR protein(PVP01_0004910)	98092	99319	1.083628
FLZR01000040	Plasmodium exported protein, unknown function(PVP01_0004900)	94585	95510	2.543370
FLZR01000040	PIR protein(PVP01_0004890)	91427	92752	0.761683
FLZR01000040	PIR protein(PVP01_0004880)	87636	88911	0.259604
FLZR01000040	Plasmodium exported protein, unknown function(PVP01_0004870)	79079	79974	0.005931
FLZR01000040	Plasmodium exported protein, unknown function(PVP01_0004860)	75910	76893	0.199999
FLZR01000040	Plasmodium exported protein, unknown function(PVP01_0004850)	72029	73018	1.164657
FLZR01000040	PIR protein(PVP01_0004840)	68757	70132	0.160471
FLZR01000040	PIR protein(PVP01_0004830)	63444	64768	0.020790
FLZR01000040	PIR protein(PVP01_0004820)	60039	61851	2.870334
FLZR01000040	PIR protein(PVP01_0004810)	55382	56480	2.027881
FLZR01000040	PIR protein(PVP01_0004800)	49480	50588	0.146281
FLZR01000040	Plasmodium exported protein, unknown function(PVP01_0004790)	43340	44226	1.014935
FLZR01000040	Plasmodium exported protein, unknown function(PVP01_0004780)	38768	39799	0.995755
FLZR01000040	Plasmodium exported protein, unknown function(PVP01_0004770)	34395	35368	0.183112
FLZR01000040	PIR protein(PVP01_0004760)	30536	32326	0.148186
FLZR01000040	PIR protein(PVP01_0004750)	26663	28138	0.335174
FLZR01000040	PIR protein(PVP01_0004740)	22220	23553	1.182567
FLZR01000040	PIR protein(PVP01_0004730)	17820	19236	0.888247
FLZR01000040	PIR protein(PVP01_0004720)	14292	15588	0.048418
FLZR01000040	PIR protein(PVP01_0004710)	11141	12711	0.008487
FLZR01000040	PIR protein(PVP01_0004700)	4998	6568	0.481532
FLZR01000040	PIR protein(PVP01_0004690)	344	1773	0.354253
FLZR01000042	Plasmodium exported protein, unknown function(PVP01_0010560)	1438	1738	0.037772
FLZR01000043	Plasmodium exported protein, unknown function(PVP01_0010570)	1092	1595	0.535107
FLZR01000047	PIR protein(PVP01_0010580)	1079	1624	0.041228
FLZR01000048	PIR protein(PVP01_0010590)	689	1615	-nan
FLZR01000049	PIR protein(PVP01_0005200)	99665	101402	0.131976
FLZR01000049	PIR protein(PVP01_0005190)	95684	97042	0.322568
FLZR01000049	PIR protein(PVP01_0005180)	90237	91461	0.392491
FLZR01000049	PIR protein(PVP01_0005170)	85131	86733	1.473627
FLZR01000049	PIR protein(PVP01_0005160)	81086	83046	0.995063
FLZR01000049	(PVP01_0005150)	77210	78080	2.002648
FLZR01000049	Plasmodium exported protein, unknown function(PVP01_0005140)	72817	73801	1.514877
FLZR01000049	Plasmodium exported protein, unknown function(PVP01_0005130)	70121	70978	1.735569
FLZR01000049	Plasmodium exported protein, unknown function(PVP01_0005120)	65517	66517	0.736834
FLZR01000049	Plasmodium exported protein, unknown function(PVP01_0005110)	62166	62759	0.318087
FLZR01000049	Plasmodium exported protein, unknown function(PVP01_0005100)	58298	59162	0.443752
FLZR01000049	Plasmodium exported protein, unknown function(PVP01_0005090)	53430	54356	0.277940
FLZR01000049	Plasmodium exported protein, unknown function(PVP01_0005080)	50174	51156	0.383239
FLZR01000049	Plasmodium exported protein, unknown function(PVP01_0005070)	46011	46982	0.270076
FLZR01000049	Plasmodium exported protein, unknown function(PVP01_0005060)	42600	43504	0.109519
FLZR01000049	Plasmodium exported protein, unknown function(PVP01_0005050)	39505	40120	0.000000
FLZR01000049	PIR protein(PVP01_0005040)	36767	37988	0.271404
FLZR01000049	PIR protein(PVP01_0005030)	32336	33484	0.754234
FLZR01000049	PIR protein(PVP01_0005020)	26721	27999	-nan
FLZR01000049	PIR protein(PVP01_0005010)	24571	25844	0.269434
FLZR01000049	PIR protein(PVP01_0005000)	19653	21217	0.568904
FLZR01000049	PIR protein(PVP01_0004990)	16252	17488	0.410091
FLZR01000049	Plasmodium exported protein, unknown function(PVP01_0004980)	11520	12263	3.167074
FLZR01000049	Plasmodium exported protein, unknown function(PVP01_0004970)	8566	9429	0.732846
FLZR01000049	PIR protein(PVP01_0004960)	4466	6152	1.599210
FLZR01000049	PIR protein(PVP01_0004950)	1589	2880	-nan
FLZR01000049	Plasmodium exported protein, unknown function(PVP01_0004940)	2	715	0.000000
FLZR01000050	PIR protein(PVP01_0010600)	1	367	0.001648
FLZR01000052	Plasmodium exported protein, unknown function(PVP01_0010610)	352	1308	1.231530
FLZR01000053	PIR protein(PVP01_0010620)	123	1230	0.152167
FLZR01000056	PIR protein(PVP01_0010630)	2	1262	0.395102
FLZR01000057	PIR protein(PVP01_0010640)	2	727	0.772138
FLZR01000058	PIR protein(PVP01_0010650)	264	1325	0.568785
FLZR01000060	PIR protein(PVP01_0005460)	96725	98239	0.677608
FLZR01000060	Plasmodium exported protein, unknown function(PVP01_0005450)	92665	93544	2.562022
FLZR01000060	Plasmodium exported protein, unknown function(PVP01_0005440)	89735	90715	2.125172
FLZR01000060	PIR protein(PVP01_0005430)	86636	88184	-nan
FLZR01000060	PIR protein(PVP01_0005420)	82746	84353	1.227297
FLZR01000060	PIR protein(PVP01_0005410)	78770	80293	0.304760
FLZR01000060	PIR protein, fragment(PVP01_0005400)	78225	78626	0.088037
FLZR01000060	(PVP01_0005390)	74475	75748	0.673435
FLZR01000060	Plasmodium exported protein, unknown function(PVP01_0005380)	69072	69979	0.725097
FLZR01000060	Plasmodium exported protein, unknown function(PVP01_0005370)	64812	65781	0.031046
FLZR01000060	Plasmodium exported protein, unknown function(PVP01_0005360)	61256	62189	0.084016
FLZR01000060	PIR protein(PVP01_0005350)	57782	57961	0.111093
FLZR01000060	PIR protein(PVP01_0005340)	54232	55636	-nan
FLZR01000060	PIR protein(PVP01_0005330)	49948	51598	1.742118
FLZR01000060	PIR protein(PVP01_0005320)	46063	47077	1.568377
FLZR01000060	PIR protein(PVP01_0005310)	42313	43326	0.604374
FLZR01000060	PIR protein(PVP01_0005300)	38144	38984	0.647603
FLZR01000060	PIR protein(PVP01_0005290)	36222	37869	0.364772
FLZR01000060	PIR protein(PVP01_0005280)	30132	31457	1.951608
FLZR01000060	PIR protein(PVP01_0005270)	24561	26176	0.903509
FLZR01000060	(PVP01_0005260)	21541	22754	1.011452
FLZR01000060	PIR protein(PVP01_0005250)	16773	18071	0.855443
FLZR01000060	PIR protein(PVP01_0005240)	11972	13251	0.023084
FLZR01000060	PIR protein(PVP01_0005230)	10529	11349	-nan
FLZR01000060	PIR protein(PVP01_0005220)	6406	8515	-nan
FLZR01000060	PIR protein(PVP01_0005210)	245	1158	0.000000
FLZR01000061	PIR protein(PVP01_0010660)	870	1482	0.181928
FLZR01000062	merozoite surface protein 3, putative(PVP01_0010670)	1	1453	1.426563
FLZR01000068	(PVP01_0010680)	1	704	0.339120
FLZR01000069	Plasmodium exported protein, unknown function(PVP01_0005700)	94319	95157	0.886807
FLZR01000069	PIR protein(PVP01_0005690)	84602	86081	0.434669
FLZR01000069	PIR protein(PVP01_0005680)	81059	82353	0.049447
FLZR01000069	PIR protein(PVP01_0005670)	79881	80672	-nan
FLZR01000069	(PVP01_0005660)	77826	78625	0.075501
FLZR01000069	PIR protein(PVP01_0005650)	74206	75819	0.538380
FLZR01000069	PIR protein(PVP01_0005640)	66603	67943	0.627273
FLZR01000069	PIR protein(PVP01_0005630)	62156	63370	0.546440
FLZR01000069	Plasmodium exported protein, unknown function(PVP01_0005620)	58443	59445	0.202244
FLZR01000069	Plasmodium exported protein, unknown function(PVP01_0005610)	54950	55885	1.019751
FLZR01000069	Plasmodium exported protein, unknown function(PVP01_0005600)	50565	51419	0.045971
FLZR01000069	Plasmodium exported protein, unknown function(PVP01_0005590)	47753	48690	0.182024
FLZR01000069	Plasmodium exported protein, unknown function(PVP01_0005580)	43376	44391	0.279747
FLZR01000069	PIR protein(PVP01_0005570)	38154	40201	0.254528
FLZR01000069	PIR protein(PVP01_0005560)	34686	35567	-nan
FLZR01000069	PIR protein(PVP01_0005550)	31635	33299	0.016146
FLZR01000069	PIR protein(PVP01_0005540)	26337	26949	0.462304
FLZR01000069	PIR protein(PVP01_0005530)	23812	25441	0.037964
FLZR01000069	PIR protein(PVP01_0005520)	19034	20366	0.433856
FLZR01000069	PIR protein(PVP01_0005510)	14772	15979	0.582352
FLZR01000069	PIR protein(PVP01_0005500)	9944	11110	0.239119
FLZR01000069	Plasmodium exported protein, unknown function(PVP01_0005490)	7781	8410	1.826974
FLZR01000069	Plasmodium exported protein, unknown function(PVP01_0005480)	3260	3928	0.018370
FLZR01000069	(PVP01_0005470)	216	992	1.405406
FLZR01000070	PIR protein(PVP01_0010690)	111	1405	0.672670
FLZR01000072	PIR protein(PVP01_0010700)	3	356	0.000000
FLZR01000073	PIR protein(PVP01_0010710)	577	1248	0.207724
FLZR01000074	PIR protein(PVP01_0010720)	3	708	0.482260
FLZR01000075	PIR protein(PVP01_0010730)	906	1358	0.653327
FLZR01000076	PIR protein(PVP01_0010740)	642	1357	-nan
FLZR01000077	Plasmodium exported protein, unknown function(PVP01_0010750)	274	1169	0.098681
FLZR01000079	Plasmodium exported protein, unknown function(PVP01_0010760)	1	478	0.152927
FLZR01000080	PIR protein(PVP01_0005910)	88906	90239	0.899354
FLZR01000080	PIR protein(PVP01_0005900)	84874	86090	0.718852
FLZR01000080	PIR protein(PVP01_0005890)	79975	81536	0.879303
FLZR01000080	PIR protein(PVP01_0005880)	74525	75649	1.255315
FLZR01000080	PIR protein(PVP01_0005870)	68596	70429	1.354962
FLZR01000080	PIR protein(PVP01_0005860)	65309	66801	0.175090
FLZR01000080	PIR protein(PVP01_0005850)	61466	62270	0.000000
FLZR01000080	PIR protein(PVP01_0005840)	59596	61222	0.005743
FLZR01000080	PIR protein(PVP01_0005830)	57012	58445	2.635864
FLZR01000080	PIR protein(PVP01_0005825)	54289	54698	7.457538
FLZR01000080	PIR protein(PVP01_0005820)	51173	52172	3.080188
FLZR01000080	PIR protein(PVP01_0005810)	48579	49081	0.075982
FLZR01000080	PIR protein(PVP01_0005800)	41674	43208	1.436341
FLZR01000080	(PVP01_0005790)	36229	38024	1.469969
FLZR01000080	PIR protein(PVP01_0005780)	33225	34380	1.530870
FLZR01000080	PIR protein(PVP01_0005770)	29540	30792	1.372808
FLZR01000080	PIR protein(PVP01_0005760)	25941	27153	1.107278
FLZR01000080	(PVP01_0005750)	22476	23764	1.049212
FLZR01000080	PIR protein(PVP01_0005740)	14940	16534	1.420808
FLZR01000080	PIR protein, fragment(PVP01_0005730)	12455	12864	1.542684
FLZR01000080	PIR protein(PVP01_0005720)	7315	10391	1.376319
FLZR01000080	STP1 protein(PVP01_0005710)	161	3686	2.296118
FLZR01000081	reticulocyte binding protein 1a, putative(PVP01_0010770)	996	1346	0.019727
FLZR01000087	PIR protein(PVP01_0010780)	2	816	0.384075
FLZR01000088	Plasmodium exported protein, unknown function(PVP01_0010800)	641	1288	-nan
FLZR01000088	PIR protein(PVP01_0010790)	25	360	0.000000
FLZR01000091	PIR protein(PVP01_0006110)	86565	87867	0.396999
FLZR01000091	PIR protein(PVP01_0006100)	82691	84126	0.991861
FLZR01000091	PIR protein(PVP01_0006090)	79430	80556	0.545332
FLZR01000091	PIR protein(PVP01_0006080)	76245	77507	1.102440
FLZR01000091	PIR protein(PVP01_0006070)	73062	74462	0.282363
FLZR01000091	PIR protein(PVP01_0006060)	68266	69839	0.324006
FLZR01000091	PIR protein(PVP01_0006050)	63537	65176	0.249407
FLZR01000091	PIR protein(PVP01_0006040)	53156	54483	0.883450
FLZR01000091	PIR protein(PVP01_0006030)	48498	49699	0.065793
FLZR01000091	PIR protein(PVP01_0006020)	43626	44558	-nan
FLZR01000091	PIR protein(PVP01_0006010)	37743	39054	1.363441
FLZR01000091	PIR protein(PVP01_0006000)	32970	34762	1.952152
FLZR01000091	Plasmodium exported protein, unknown function(PVP01_0005990)	29874	30838	0.111968
FLZR01000091	Plasmodium exported protein, unknown function(PVP01_0005980)	25676	26634	0.785053
FLZR01000091	Plasmodium exported protein, unknown function(PVP01_0005970)	21137	22052	0.180490
FLZR01000091	Plasmodium exported protein, unknown function(PVP01_0005960)	16875	17599	0.121296
FLZR01000091	PIR protein(PVP01_0005950)	13155	14863	0.023105
FLZR01000091	PIR protein(PVP01_0005940)	5340	6981	0.045206
FLZR01000091	PIR protein(PVP01_0005930)	3011	4768	0.455468
FLZR01000091	PIR protein, fragment(PVP01_0005920)	836	1172	0.318182
FLZR01000094	hypothetical protein(PVP01_0010810)	256	823	0.304627
FLZR01000098	PIR protein(PVP01_0010820)	1	385	1.413323
FLZR01000099	Plasmodium exported protein, unknown function(PVP01_0010830)	201	869	0.266371
FLZR01000101	conserved Plasmodium protein, unknown function(PVP01_0010840)	117	1200	-nan
FLZR01000102	Plasmodium exported protein, unknown function(PVP01_0006330)	85200	86064	0.028848
FLZR01000102	Plasmodium exported protein, unknown function(PVP01_0006320)	82368	83466	0.488698
FLZR01000102	(PVP01_0006310)	78875	80309	0.745656
FLZR01000102	PIR protein(PVP01_0006300)	74267	75603	0.221279
FLZR01000102	PIR protein(PVP01_0006290)	68680	70087	0.412014
FLZR01000102	PIR protein(PVP01_0006280)	62879	64468	0.072902
FLZR01000102	PIR protein(PVP01_0006270)	57892	59132	0.671816
FLZR01000102	PIR protein(PVP01_0006260)	54372	54967	0.002769
FLZR01000102	Plasmodium exported protein, unknown function(PVP01_0006250)	50035	51025	0.028245
FLZR01000102	Plasmodium exported protein, unknown function(PVP01_0006240)	46434	47399	0.760861
FLZR01000102	Plasmodium exported protein, unknown function(PVP01_0006230)	43386	44353	0.146340
FLZR01000102	Plasmodium exported protein, unknown function(PVP01_0006220)	39571	40559	0.169546
FLZR01000102	Plasmodium exported protein, unknown function(PVP01_0006210)	36688	37615	0.020706
FLZR01000102	Plasmodium exported protein, unknown function(PVP01_0006200)	32646	33621	0.410657
FLZR01000102	Plasmodium exported protein, unknown function(PVP01_0006190)	29304	30278	0.499392
FLZR01000102	Plasmodium exported protein, unknown function(PVP01_0006180)	24918	25706	0.312228
FLZR01000102	Plasmodium exported protein, unknown function(PVP01_0006170)	21144	22080	0.593214
FLZR01000102	Plasmodium exported protein (PHIST), unknownfunction(PVP01_0006160)	17490	18367	0.297009
FLZR01000102	PIR protein(PVP01_0006150)	14466	15676	0.211465
FLZR01000102	(PVP01_0006140)	12267	13758	0.251209
FLZR01000102	PIR protein(PVP01_0006130)	8537	9833	0.168372
FLZR01000102	Plasmodium exported protein, unknown function(PVP01_0006120)	930	1913	0.720309
FLZR01000103	PIR protein(PVP01_0000910)	399793	401003	0.620170
FLZR01000103	(PVP01_0000900)	396457	397796	1.161247
FLZR01000103	PIR protein(PVP01_0000890)	393861	395042	1.313530
FLZR01000103	PIR protein(PVP01_0000880)	390367	391574	1.800902
FLZR01000103	PIR protein(PVP01_0000870)	386437	387610	0.863412
FLZR01000103	(PVP01_0000860)	383291	384517	0.006296
FLZR01000103	(PVP01_0000850)	375489	376401	0.517073
FLZR01000103	PIR protein(PVP01_0000840)	372247	373425	0.142734
FLZR01000103	PIR protein(PVP01_0000830)	368707	369948	1.246602
FLZR01000103	PIR protein(PVP01_0000820)	365212	366390	1.731086
FLZR01000103	PIR protein(PVP01_0000810)	360272	361473	3.127334
FLZR01000103	PIR protein(PVP01_0000800)	358994	359642	2.448099
FLZR01000103	PIR protein(PVP01_0000790)	354258	355568	1.541319
FLZR01000103	PIR protein(PVP01_0000780)	351940	352459	0.391332
FLZR01000103	PIR protein(PVP01_0000770)	349981	351113	1.094877
FLZR01000103	(PVP01_0000760)	345104	346361	1.115038
FLZR01000103	PIR protein(PVP01_0000750)	341363	342602	1.620064
FLZR01000103	PIR protein(PVP01_0000740)	335756	337025	0.002616
FLZR01000103	PIR protein(PVP01_0000730)	327285	328491	0.939599
FLZR01000103	PIR protein(PVP01_0000720)	323548	324790	0.699773
FLZR01000103	PIR protein(PVP01_0000710)	319115	320328	1.489235
FLZR01000103	PIR protein(PVP01_0000700)	315036	316274	0.117470
FLZR01000103	PIR protein(PVP01_0000690)	312042	312917	0.274181
FLZR01000103	PIR protein(PVP01_0000680)	307888	309128	1.766079
FLZR01000103	PIR protein(PVP01_0000670)	304005	305328	1.400027
FLZR01000103	PIR protein(PVP01_0000660)	298820	299985	0.287922
FLZR01000103	PIR protein(PVP01_0000650)	294911	296157	0.582604
FLZR01000103	(PVP01_0000640)	290925	292241	0.958488
FLZR01000103	PIR protein(PVP01_0000630)	286772	287952	1.066305
FLZR01000103	PIR protein(PVP01_0000620)	282389	283631	2.025356
FLZR01000103	(PVP01_0000610)	276779	278041	1.338608
FLZR01000103	PIR protein(PVP01_0000600)	270017	271223	2.331729
FLZR01000103	PIR protein(PVP01_0000590)	266285	267518	3.730984
FLZR01000103	PIR protein(PVP01_0000580)	261211	262567	2.085374
FLZR01000103	PIR protein(PVP01_0000570)	255961	257135	2.113817
FLZR01000103	(PVP01_0000560)	252142	253453	3.088122
FLZR01000103	PIR protein(PVP01_0000550)	247474	248713	1.992636
FLZR01000103	PIR protein(PVP01_0000540)	244224	245394	1.408822
FLZR01000103	(PVP01_0000530)	241129	242106	2.861910
FLZR01000103	PIR protein(PVP01_0000520)	237299	238198	0.792145
FLZR01000103	PIR protein(PVP01_0000510)	233006	234201	1.390652
FLZR01000103	PIR protein(PVP01_0000500)	229303	230523	2.142853
FLZR01000103	PIR protein(PVP01_0000490)	224534	225854	4.253430
FLZR01000103	PIR protein(PVP01_0000480)	221402	222734	0.589427
FLZR01000103	PIR protein(PVP01_0000470)	214630	215807	2.395953
FLZR01000103	PIR protein(PVP01_0000460)	210223	211459	3.660081
FLZR01000103	(PVP01_0000450)	206787	207739	0.982689
FLZR01000103	PIR protein(PVP01_0000440)	202012	203340	3.279705
FLZR01000103	PIR protein(PVP01_0000430)	198976	200108	2.700008
FLZR01000103	PIR protein(PVP01_0000420)	192877	194048	2.607883
FLZR01000103	PIR protein(PVP01_0000410)	187977	189181	0.347288
FLZR01000103	PIR protein(PVP01_0000400)	184092	185326	0.000000
FLZR01000103	PIR protein(PVP01_0000390)	180421	181585	0.318272
FLZR01000103	PIR protein(PVP01_0000380)	177088	178336	0.601478
FLZR01000103	PIR protein(PVP01_0000370)	173253	174570	0.403990
FLZR01000103	PIR protein(PVP01_0000360)	168013	169166	1.159409
FLZR01000103	PIR protein(PVP01_0000350)	162521	163955	0.915855
FLZR01000103	(PVP01_0000340)	157770	159015	0.134250
FLZR01000103	PIR protein(PVP01_0000330)	153771	156214	1.555484
FLZR01000103	PIR protein(PVP01_0000320)	149117	150244	1.470752
FLZR01000103	PIR protein(PVP01_0000310)	139564	140885	0.984459
FLZR01000103	PIR protein(PVP01_0000300)	136113	137215	1.352407
FLZR01000103	PIR protein(PVP01_0000290)	132037	133412	1.023415
FLZR01000103	PIR protein(PVP01_0000280)	122028	123299	0.852563
FLZR01000103	PIR protein(PVP01_0000270)	117436	118813	0.898347
FLZR01000103	PIR protein(PVP01_0000260)	115469	116297	1.097173
FLZR01000103	PIR protein(PVP01_0000250)	112995	114102	1.657469
FLZR01000103	PIR protein(PVP01_0000240)	109274	111206	1.357658
FLZR01000103	PIR protein(PVP01_0000230)	105795	107040	1.454216
FLZR01000103	Plasmodium exported protein, unknown function(PVP01_0000220)	99892	101122	1.403495
FLZR01000103	tryptophan-rich antigen(PVP01_0000210)	96288	97058	1.519912
FLZR01000103	tryptophan-rich antigen(PVP01_0000200)	90909	92233	1.397152
FLZR01000103	lysophospholipase, putative(PVP01_0000190)	85856	87067	1.259005
FLZR01000103	Plasmodium exported protein, unknown function(PVP01_0000180)	79813	81297	1.407472
FLZR01000103	tryptophan-rich antigen(PVP01_0000170)	73514	74618	1.362905
FLZR01000103	tryptophan-rich antigen(PVP01_0000160)	68142	69071	1.290516
FLZR01000103	tryptophan-rich antigen(PVP01_0000150)	62656	63754	1.414273
FLZR01000103	tryptophan-rich antigen(PVP01_0000140)	57969	58929	1.253130
FLZR01000103	tryptophan-rich antigen(PVP01_0000130)	51962	53190	1.310888
FLZR01000103	tryptophan-rich antigen(PVP01_0000120)	43389	44436	1.549644
FLZR01000103	tryptophan-rich antigen(PVP01_0000110)	39887	40931	1.360862
FLZR01000103	tryptophan-rich antigen(PVP01_0000100)	35293	37532	1.418164
FLZR01000103	Plasmodium exported protein, unknown function(PVP01_0000090)	30326	31300	1.367584
FLZR01000103	(PVP01_0000080)	25135	26442	1.433817
